Final F1 Score,epoch,step,test_loss,train_loss,val_loss
,0,749,,,0.15576769411563873
,0,749,,0.45582103729248047,
,1,1499,,,0.11412253975868225
,1,1499,,0.11687994748353958,
,2,2249,,,0.08467467129230499
,2,2249,,0.08623605221509933,
,3,2999,,,0.06650173664093018
,3,2999,,0.0699051097035408,
,4,3749,,,0.06436263769865036
,4,3749,,0.06230513006448746,
,5,4499,,,0.061373818665742874
,5,4499,,0.05367108806967735,
,6,5249,,,0.052523575723171234
,6,5249,,0.047854263335466385,
,7,5999,,,0.04447941482067108
,7,5999,,0.048388004302978516,
,8,6749,,,0.04921840503811836
,8,6749,,0.043511103838682175,
,9,7499,,,0.05599311739206314
,9,7499,,0.03946039453148842,
,10,8249,,,0.04796697944402695
,10,8249,,0.03750098869204521,
,11,8999,,,0.04604765772819519
,11,8999,,0.03490302711725235,
,12,9749,,,0.038863759487867355
,12,9749,,0.03168338164687157,
,13,10499,,,0.04584365338087082
,13,10499,,0.030854301527142525,
,14,11249,,,0.04381182789802551
,14,11249,,0.030151644721627235,
,15,11999,,,0.04941495880484581
,15,11999,,0.028684712946414948,
,16,12749,,,0.03861719369888306
,16,12749,,0.028129642829298973,
,17,13499,,,0.03586563095450401
,17,13499,,0.025005027651786804,
,18,14249,,,0.0429694764316082
,18,14249,,0.026732049882411957,
,19,14999,,,0.0384967178106308
,19,14999,,0.024491846561431885,
,20,15749,,,0.03970223665237427
,20,15749,,0.023683330044150352,
,21,16499,,,0.04080607742071152
,21,16499,,0.022066619247198105,
,22,17249,,,0.03520137071609497
,22,17249,,0.024189919233322144,
,23,17999,,,0.04248456656932831
,23,17999,,0.022219963371753693,
,24,18749,,,0.036560624837875366
,24,18749,,0.020905829966068268,
,25,19499,,,0.04119623824954033
,25,19499,,0.020424172282218933,
,26,20249,,,0.03558811917901039
,26,20249,,0.0194851066917181,
,27,20999,,,0.03517783060669899
,27,20999,,0.018858831375837326,
,28,21749,,,0.032884255051612854
,28,21749,,0.020861487835645676,
,29,22499,,,0.03423762694001198
,29,22499,,0.018756041303277016,
,30,23249,,,0.033784300088882446
,30,23249,,0.01894068717956543,
,31,23999,,,0.03973064944148064
,31,23999,,0.018985778093338013,
,32,24749,,,0.032741300761699677
,32,24749,,0.018378837034106255,
,33,25499,,,0.036674365401268005
,33,25499,,0.015505448915064335,
,34,26249,,,0.039697203785181046
,34,26249,,0.018155062571167946,
0.9853731393814087,35,26250,0.03044852241873741,,
